120e14006f	Thou prevailest against him continually, and he perisheth; Thou changest his countenance, and sendest him away.
120e150061	His sons come to honor, but he knoweth it not; Or they are brought low, but he perceiveth it not.
120e160056	But his flesh shall have pain for itself alone; For itself alone shall his soul mourn.
120f01002d	Then answered Eliphaz the Temanite, and said:
120f020056	Should a wise man answer with arguments of wind, Or fill his bosom with the east wind?
120f030059	Should he argue with speech that helpeth him not, And with words which do not profit him?
120f040055	Behold, thou makest the fear of God a vain thing, And discouragest prayer before him.
120f05005b	Yea, thy own mouth proclaimeth thy iniquity, Though thou choosest the tongue of the crafty.
120f06004c	Thy own mouth condemneth thee, and not I; Thy own lips testify against thee.
120f070048	Art thou the first man that was born? Wast thou formed before the hills?
120f08004a	Hast thou listened in the council of God, And drawn all wisdom to thyself?
120f09005e	What dost thou know, that we know not also? What dost thou understand, that is a secret to us?
120f0a0042	With us are the aged and hoary-headed; Much older than thy father.
120f0b0051	Dost thou despise the consolations of God, And words so full of kindness to thee?
120f0c0052	Why hath thy passion taken possession of thee? And why this winking of thine eyes?
120f0d0053	For against God hast thou turned thy spirit, And uttered such words from thy mouth.
120f0e005e	What is man, that he should be pure, And he that is born of woman, that he should be innocent?
120f0f0062	Behold, He putteth no trust in his ministering spirits, And the heavens are not pure in his sight;
120f100047	Much less, abominable and polluted man, Who drinketh iniquity as water.
120f110049	Hear me, and I will show thee, And that which I have seen will I declare;
120f120055	Which the wise men have told, And not kept concealed, as received from their fathers;
120f130049	To whom alone the land was given, And among whom not a stranger wandered.
120f140062	“All his days the wicked man is in pain; Yea, all the years, that are laid up for the oppressor.
120f150047	A fearful sound is in his ears; In peace the destroyer cometh upon him.
120f160052	He hath no hope that he shall escape from darkness; He is set apart for the sword.
120f170050	He wandereth about, seeking bread; He knoweth that a day of darkness is at hand.
120f180064	Distress and anguish fill him with dread; They prevail against him like a king ready for the battle.
120f190053	Because he stretched forth his hand against God, And bade defiance to the Almighty,
120f1a0052	And ran against him with outstretched neck, With the thick bosses of his bucklers;
120f1b004a	Because he covered his face with fatness, And gathered fat upon his loins,
120f1c0061	And dwelt in desolated cities, In houses which no man inhabiteth, That are ready to become heaps.
120f1d006f	He shall not be rich; his substance shall not endure, And his possessions shall not be extended upon the earth.
120f1e0083	He shall not escape from darkness, And the flame shall dry up his branches; Yea, by the breath of His mouth shall he be taken away.
120f1f0058	“Let not man trust in vanity! he will be deceived; For vanity shall be his recompense.
120f20004c	He shall come to his end before his time, And his branch shall not be green.
120f21005d	He shall shake off his unripe fruit like the vine, And shed his blossoms like the olive-tree.
120f22005c	The house of the unrighteous shall be famished, And fire shall consume the tents of bribery.
120f230054	They conceive mischief, and bring forth misery, And their breast deviseth deceit.”
121001001a	But Job answered and said:
121002004d	Of such things as these I have heard enough! Miserable comforters are ye all!
1210030057	Will there ever be an end to words of wind? What stirreth thee up, that thou answerest?
121004007d	I also might speak like you, If ye were now in my place; I might string together words against you, And shake my head at you.
1210050058	I would strengthen you with my mouth, And the consolation of my lips should sustain you.
